epoch,train_loss,valid_loss,error_rate,time
0,0.511741578578949,2.054588556289673,0.3684210777282715,00:09
1,0.4133639335632324,0.9979802966117859,0.21052628755569458,00:09
2,0.33657246828079224,0.5124021768569946,0.18421053886413574,00:09
3,0.262177973985672,0.2725865840911865,0.15789473056793213,00:10
4,0.21546849608421326,0.14607970416545868,0.07894736528396606,00:10
5,0.17991359531879425,0.07692404836416245,0.05263155698776245,00:10
